timestamp,dong,pred_p10,pred_p50,pred_p90
2026-01-01,개포동,1487.3894265372267,1490.7450183759024,1493.051643286215
2026-02-01,개포동,1495.0661828530128,1500.3773105589562,1506.593424408403
2026-03-01,개포동,1496.1582688579863,1502.853572706513,1511.4783508099965
2026-04-01,개포동,1510.2553074250643,1519.5158282752516,1530.0567763940708
2026-05-01,개포동,1522.7066758417218,1535.2318042601548,1548.7188175727001
2026-06-01,개포동,1533.4479449300422,1547.3232355068162,1560.162330133879
2026-07-01,개포동,1538.104303256642,1553.0211827153953,1567.7677908620474
2026-08-01,개포동,1537.8636519454083,1555.7105523159726,1571.4951481320418
2026-09-01,개포동,1543.9781152503529,1563.6411066983321,1580.4546637500225
2026-10-01,개포동,1549.7250561495105,1571.106133058405,1589.8844022312223
2026-11-01,개포동,1561.37616387219,1581.2264323542447,1601.9193298574598
2026-12-01,개포동,1570.09180332314,1590.1712575505867,1612.6967377984984
2027-01-01,개포동,1580.906938888691,1600.8346237844044,1621.8271815125202
2027-02-01,개포동,1589.811366750687,1612.0807196547764,1636.3447361848926
2027-03-01,개포동,1602.451585417929,1626.3626072748802,1649.171979243315
2027-04-01,개포동,1613.2788605961864,1634.848245448165,1658.7605815468685
2027-05-01,개포동,1630.2599379882372,1654.2866285278237,1678.4216757443942
2027-06-01,개포동,1641.5318181572948,1665.1600846367526,1691.1653337418516
2027-07-01,개포동,1647.6228263965545,1672.6891056538914,1698.6222235284151
2027-08-01,개포동,1653.3435231356457,1678.2873714087423,1704.0283106579366
2027-09-01,개포동,1663.8077009178828,1691.1873041576107,1715.1568696602703
2027-10-01,개포동,1687.0145591148023,1716.1777831888567,1741.5609555198125
2027-11-01,개포동,1707.4305247148022,1735.2867500358602,1761.595452706597
2027-12-01,개포동,1716.1504209533873,1744.6565011438188,1772.4965822351987
2028-01-01,개포동,1725.2002334039744,1753.9309281953276,1782.5777237390917
2028-02-01,개포동,1740.037097064378,1767.204606273293,1795.960796014585
2028-03-01,개포동,1751.0093567841438,1777.6391736866292,1807.444109273787
2028-04-01,개포동,1759.0763147670582,1788.971993494445,1815.898251589122
2028-05-01,개포동,1778.0888892330977,1808.2555762176207,1837.5159006594286
2028-06-01,개포동,1800.2165740220114,1833.3574305044358,1859.7003927340593
2028-07-01,개포동,1805.3928900289552,1833.867567587162,1864.126928105551
2028-08-01,개포동,1813.6419635303528,1846.129693178876,1874.5105109282208
2028-09-01,개포동,1830.1970175100491,1860.0145878308713,1890.0311242493863
2028-10-01,개포동,1839.6500075286408,1868.656620366026,1901.0459959984014
2028-11-01,개포동,1861.4485755814808,1890.2594414000878,1922.0511528269756
2028-12-01,개포동,1873.0550822063922,1903.2781668201633,1935.5742133012864
2029-01-01,개포동,1893.315232388939,1920.8432564940153,1954.8274701416667
2029-02-01,개포동,1904.1266638761085,1937.4564926644734,1971.0533166610003
2029-03-01,개포동,1916.5913620762503,1945.4344696911648,1979.4477455242575
2029-04-01,개포동,1932.8090706225096,1965.938433547829,1999.0809012344039
2029-05-01,개포동,1933.0948936824748,1963.0287862387709,1996.6868826656873
2029-06-01,개포동,1945.2015099598852,1977.7165517520777,2011.8352289728812
2029-07-01,개포동,1962.9509973497625,1996.7857565091467,2032.0730848751273
2029-08-01,개포동,1969.0320441801323,2003.547320929209,2035.4461537815973
2029-09-01,개포동,1989.4240446012352,2020.4459927314285,2055.2948921019215
2029-10-01,개포동,1996.132922104955,2028.3336075654447,2064.0758827253885
2029-11-01,개포동,2011.2422071313472,2046.5268404848885,2081.49388530552
2029-12-01,개포동,2026.867540224424,2062.279805059209,2094.431538734637
2030-01-01,개포동,2037.8676089243772,2070.034133273811,2105.150391137598
2030-02-01,개포동,2043.7512074241367,2077.3209826619745,2111.4161263026217
2030-03-01,개포동,2073.4861480030013,2111.6160449775425,2143.660315254485
2030-04-01,개포동,2088.7837010110507,2125.912619314834,2161.847353137755
2030-05-01,개포동,2107.6743920717086,2142.4221078844644,2180.1864013098684
2030-06-01,개포동,2125.553734329678,2160.92516629964,2197.719405097543
2030-07-01,개포동,2146.099872207234,2182.4793276546825,2216.1086283753402
2030-08-01,개포동,2156.351556837537,2193.5829187714185,2229.3576302060246
2030-09-01,개포동,2168.1208615049277,2207.458402011719,2241.0266921081475
2030-10-01,개포동,2165.4401275227474,2200.2610807775736,2240.68733200897
2030-11-01,개포동,2189.368009766464,2227.740865430914,2262.986028497475
2030-12-01,개포동,2202.1766217352306,2241.7243595522928,2278.0136577862345
2031-01-01,개포동,2212.1671476178635,2248.2510060930554,2285.3983778948877
2031-02-01,개포동,2225.4278857350737,2266.777516043378,2301.146801843216
2031-03-01,개포동,2239.2247825990353,2277.6476445021235,2311.5572044596775
2031-04-01,개포동,2256.825774574224,2295.615143801472,2334.5060727436357
2031-05-01,개포동,2273.3690748361055,2311.243941990985,2350.3737617442603
2031-06-01,개포동,2299.6870807784658,2339.8983944324086,2375.8100295763893
2031-07-01,개포동,2309.122058860343,2344.6027075004467,2384.2000146131104
2031-08-01,개포동,2319.929721171233,2359.0399901432365,2399.7049077778447
2031-09-01,개포동,2338.94146756656,2379.520399082193,2418.7878668035883
2031-10-01,개포동,2359.0525745226423,2397.264049435973,2434.343013213198
2031-11-01,개포동,2379.167211390289,2418.384055331325,2459.357508985013
2031-12-01,개포동,2384.3820100366,2425.0363111241995,2463.5656895507527
2032-01-01,개포동,2397.6685862552827,2436.2360953589778,2475.2045687901755
2032-02-01,개포동,2414.540983497093,2456.436049568846,2496.9867020429965
2032-03-01,개포동,2426.186023626984,2463.259385370271,2504.538094886113
2032-04-01,개포동,2441.8456873905097,2484.734350764394,2521.530832171301
2032-05-01,개포동,2455.6143379373016,2496.172165173344,2537.404566077913
2032-06-01,개포동,2470.5812595030193,2508.443056481684,2552.1390950641417
2032-07-01,개포동,2482.5360367007697,2521.1885635423077,2562.016896462743
2032-08-01,개포동,2505.583203153479,2544.310844540828,2591.2377918553057
2032-09-01,개포동,2515.615896515278,2557.4921163731947,2600.4056868605335
2032-10-01,개포동,2533.6844175552833,2571.507642972555,2614.666792546766
2032-11-01,개포동,2549.8190882720105,2593.7167911420665,2636.264408410215
2032-12-01,개포동,2566.530868117582,2605.7944746844387,2652.4541047009166
2033-01-01,개포동,2586.594078597981,2631.9273170121633,2673.9538064522217
2033-02-01,개포동,2608.1441206480267,2649.073626003916,2693.6108526535854
2033-03-01,개포동,2614.606381428681,2657.664642767638,2704.324552126355
2033-04-01,개포동,2629.2503517373343,2675.8410593622484,2719.7254647705104
2033-05-01,개포동,2646.0535144020237,2693.6587199405876,2740.644186504083
2033-06-01,개포동,2657.8089501960226,2702.363576869797,2745.656805458543
2033-07-01,개포동,2677.8814319378507,2720.151861029316,2766.627009158742
2033-08-01,개포동,2692.6975153845924,2736.7175021479206,2785.6015160792563
2033-09-01,개포동,2711.5444912146195,2761.4418129093137,2807.4738893999843
2033-10-01,개포동,2725.1750538119177,2769.501787231856,2821.4594874046834
2033-11-01,개포동,2743.818549987927,2790.9999322828626,2838.3993415808636
2033-12-01,개포동,2757.6455333536214,2804.9068519545676,2856.352754101922
2034-01-01,개포동,2773.3654718913863,2821.0415669555023,2870.541714053543
2034-02-01,개포동,2784.299975890206,2825.8292993388195,2877.2039715453725
2034-03-01,개포동,2793.556978803665,2842.145186661151,2889.272172030598
2034-04-01,개포동,2824.799252337092,2869.8756593138023,2914.676463332743
2034-05-01,개포동,2829.9668019821042,2873.9498823005947,2922.1444918490356
2034-06-01,개포동,2844.405638118174,2891.0394490372582,2935.511520234676
2034-07-01,개포동,2868.368968860197,2916.54378060887,2964.79769143077
2034-08-01,개포동,2878.7810112676734,2926.111501394306,2974.5857485666734
2034-09-01,개포동,2890.23929665968,2940.2644782478665,2986.7745802016602
2034-10-01,개포동,2895.4031506120755,2946.2142742505016,2990.8238772980303
2034-11-01,개포동,2917.2480783582923,2967.6381816325984,3009.7113961687346
2034-12-01,개포동,2923.2683116047733,2976.3815786239024,3022.892178927003
2035-01-01,개포동,2931.424194907908,2977.935307149337,3031.041020045724
2035-02-01,개포동,2945.188825156497,2997.0786554345577,3042.9078888461554
2035-03-01,개포동,2962.8449002916695,3009.967428635183,3064.2663389634217
2035-04-01,개포동,2978.768355421358,3027.2342890989457,3077.2730184294123
2035-05-01,개포동,3007.788037607975,3056.3262010567596,3103.8418170104137
2035-06-01,개포동,3011.6753136674333,3061.214420459728,3110.545626457697
2035-07-01,개포동,3030.3577352033876,3082.1290194672333,3137.163021660015
2035-08-01,개포동,3043.1814775437656,3090.8522259007286,3144.1840735913893
2035-09-01,개포동,3068.6019767093676,3119.545440719143,3168.7257111741383
2035-10-01,개포동,3071.419537980836,3122.224498384588,3171.522393700037
2035-11-01,개포동,3083.764957099518,3138.4854673762766,3193.6521913370157
2035-12-01,개포동,3101.5581268445667,3156.540398155951,3201.932042352808
